Alias,Information Visualization,Statistical,Mathematics,Drawing and artistic,Computer usage,Programming,Computer graphics programming,HCI programming,UX evaluation,Communication,Collaboration,Code repository,Major,Interests,Expectations,Courses,In 5 years
Monokuma,3,3,4,6,8,6,5,3,3,5,5,5,Computer Science,I read a lot and like playing boardgames,How to present information in a way the user can take in.,"At kth, DD1354, DH2320 and DH2413 if I pass it",No clue
NoobKiz,7,7,6,4,8,8,4,7,5,7,7,9,Computer Science,"Creation and innovation. Sports, programming, and music.",Better organization and visualization of data. To apply the knowledge in real life/software.,"No course, but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.",entrepreneur. To create new interaction applications/frameworks.
Rella666,6,5,6,7,6,3,5,5,3,7,7,2,Media Management,Cooking and gardening,I  hope I can learn how to change information from complicated into easy way,Media Production、Webpage Design,Product Manager in Internet Company or CPG business
Kropotkin42,3,4,5,8,7,4,4,1,6,9,6,7,Media Technology,"interests: interaction design, graphic and web design, media studies, modern and postmodern philosophy
hobbies: knitting, baking, photography, skyrim with 493 mods","how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation, if i have to present data for something","in my bachelor's degree i had statistics, linear algebra, and several courses on computer graphics. who knows what will come in handy though","my most honest answer is ""in the woods, boiling tea water over a fire in a cast iron kettle."" but other than that, i am torn. i'm thinking about trying for a phd, but would also like to work in the design industry"
Kyrie11,5,6,4,4,6,6,3,5,5,5,9,6,Media Technology,I like playing basketball and producing beats.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,I want to be a front-end developer for music streaming industry.
chiri,5,2,2,9,7,6,3,6,4,5,5,9,Human-Computer Interaction,"Art, design, Front-end development, UX, music, skiing",Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Industry. Working in designing and implementing complex data visualizations
Superwoman97,2,3,5,6,7,2,1,3,6,10,5,4,Media Technology,"I love too cook, specifically bake bread. I also have a horse which I take care of twice a week. I love Javascript :)",I hope to learn how to categorize data and visualize it well! I want to use it in my education as well as in my working life,"The usual math courses during my bachelors, and I've studied architecture for one year","Entrepeneur, industry or consultant - working with front end/full stack, for sustainability issues"
cowboy55,5,3,5,5,8,6,3,5,5,10,8,6,Media Technology,"Interaction design, web development, music ",Learn how to visualize data to make it susceptible to others. ,"Multimedia, databases,  and data mining & data science in 2017",Working in-house at some nice company 
phips77,3,6,3,4,5,3,1,1,6,9,8,6,Information Systems,"Handball, Basketball, Politics",Visualization for web and mobile applications. Expect to use it for private project or maybe later for my job. ,none,In tech industry as product manager
Vis81,3,5,5,6,7,5,2,4,3,4,7,6,Computer Science,I love data and hope to learn more about how to properly visualise it. In the future I would like to pursue a data-driven career.,"Yes, but only using Python libraries and Excel. I hope to use my learnings to build beautiful, crisp and useful displays of complex data to tell the story behind it.",Math Courses and Programming courses.,"I see myself as an entrepreneur who recently started my own company, most likely within technology."
Ellakingen,3,1,5,7,7,7,2,2,2,10,5,5,Computer Science,"I enjoy making things with my hands, right now it's mostly knitting. But I'm also fond of silver smithery, drawing, and pottery. I enjoy programming as well, now I'm mostly interested in web scraping and web programming! I like that I can really combine my interest in tech with being creative!","I expect to get tools for visualising information! To understand better how my interest in gathering data from the internet can be visualised, and how this can be useful to others. ","Programming courses in python and java, web development course, statistics, linear algebra, calculus, all on KTH. ","I could see myself as an entrepreneur in five years. For me it's first and foremost important I work with something I find important and valuable for the rest of the world. I'm planning to start off working for a company, and then perhaps moving on to working with *data* (whatever that means) somehow on my own.  "
Cinnamon-Bun,3,5,7,4,9,6,2,3,1,8,7,7,Computer Science,"I think I am interested in most thing. I looked through previous project and <90% of them looked intresting so i think i could do most projects. I like exploring new thing so doing something i am unfamiliar would be fun.

My hobbies include climbing, gaming, anime, cooking, student life at kth and traveling.","I expect that you start off with some data and with that data you learn how to ""transform"" it and present it in a way that makes it easy to understand as oposed to a spreadsheat of numbers. I also think we will learn to visulize data in a way that can show correlations etc that may be hard to spott if it was just number in a excel sheet.",DD1393 (VT20) We built a sound visualizer for the vic studio at kth. DA2210 (HT20) Since the course is about science is included part about how to analyse and plot data in graph etc.,I'm aiming for becoming a data scientist and i will probably work in industry. I'm unsure at what kind of company i want to work for tho since i find most things interesting so i have a hard time choosing.
Lapalus ,6,6,5,9,8,8,4,6,8,7,8,6,Human-Computer Interaction,photography and video games， I am contract photographer with Getty Image,"to be honest，I am not quite clear on these two, maybe after I learned them I would have some ideas, till now, perhaps in PowerPoint?",DT2140?,Game developer or something to do with game industry
4LB4,3,3,5,7,7,5,2,5,5,7,8,5,Media Technology,"Sports, Friends & Family, Gaming, Creative activities","Develop systems that present data in a better looking way, that is  easier to understand. Know what makes a good information system.",All courses within media technology program.,"I want to be expert in whatever field I find interesting, does not really matter what type of job, but at the moment I feel more towards industry than academia"
Ray Primary,4,4,8,6,9,7,5,3,2,9,7,7,Computer Science,"I am very interested in video game creation and playing. Game making is my main hobby. Other interests are gardening, nutrition, working out, baking, hiking, interrailing.","I expect to learn several techniques and methods for visualizing data, which I expect to be able to use in many situations, such as in writing reports (like my master's thesis), creating presentations for other people, but also for making sense of data for myself. When looking at a dataset, I want to instinctively be able to come up with the most appropriate way of visualizing it, which I expect this course to help me start being able to do.","DH2320 Introduction to Visualization and Computer Graphics - KTH, VT20
DH2323 Computer Graphics and Interaction - KTH, VT20
TA in DD2257 Visualization - KTH, HT20 (have never attended as a student)","I would like to be in the video games industry, at an anti-crunch-culture company. I don't know if it is achievable in five years, but I can imagine myself having some kind of leading role, like on the level of scrum master. My plan is to do my thesis at a video game company, and using that avenue for getting hired."
papi33,1,1,2,8,4,3,1,1,2,1,4,3,Computer Science,,learn to use some visualization tools,"applied linear regression using R, 2018",consultant
Mustang22,3,4,6,7,7,5,2,3,5,7,6,3,Media Technology,"Some things I like are drawing and painting, playing computer games and being outside walking  in the forest/nature.","I hope to learn more about how better visualize data and information in a interactive and interesting ways, to hopefully become better at making data that might be complex more easy to understand.","I have yet not completed any courses related to information visualization, but I read the course ""DH2320  Introduction to Visualization and Computer Graphics"" in parallel with this course now in period 3.","I am not really sure but I would like to work in the industry or as a consultant, maybe  within the computer game industry."
e4c6,2,3,4,1,4,3,3,2,2,6,7,4,"Computer Science, Media Technology","Some of my hobbies are computer games, music, climbing, chess",Different ways of conveying information and how they vary in effectiveness based on the context. I expect to use what I learn for that purpose.,"Several programming courses from 2017-2020, DD2258 in 2020.",I have no idea.
DancingTomato2,2,4,5,6,8,7,2,2,1,10,8,7,Computer Science,"When I am not studying I enjoy taking walks with my dog in the forest, as well as playing video games with my friends online. I have recently gotten much more interested in cooking and find it very enjoyable. I have also played quite a bit of tennis, although it was a while ago now. ","Sounds quite obvious, but I expect to learn how to visualize information so it becomes clear and understandable to the user. I don't really know how I am going to use what I will learn, I didn't take this course in order to learn how to do things for some specific goal or task. 
But I suppose if I end up creating software for users it will be very useful to know how to present and visualize information so users quickly understand it.","DD1393 (""Software Construction"") a course where we worked in large groups and created and delivered software to some company. I took the course last year.

I suppose all programming courses I have taken are quite relevant, since they both have given me coding experience, but also expierience with git.

Two years ago I took DH1620 (""human-computer interaction introduction"").
Two years ago I also took SF1924 (""Probability and statistics""). ","I am quite certain I will be somewhere in the industry as a programmer. I don't think I want to start my own company or join some small litlle startup. I don't think I either want to be a consultant. But it is hard to be more specific than that. 

Can't say I have ruled out working with computer games, but I am not sure if that is what I want to do. In fact I am quite open minded, I think I will be satisfied as long as I get to do programming.
"
Frogster,3,1,5,7,7,6,1,4,4,6,6,6,"Computer Science, Human-Computer Interaction","I like being creative. Drawing, playing instruments, crafting, making stuff. I also enjoy rock climbing, gaming and listening to music.","I expect to learn the theory behind information visualization; how to best represent data, maybe design patterns, general concepts. I also expect to learn the programming part of it. I will hopefully be able to use it when I start working, maybe to create better UI? For presentations of data to both customers and others in the same company? Not 100% sure.","DM2601 HT-20, Dynamic web programming at Uppsala Uni summer 2020, some programming courses that I've taken during my bacherlors might be relevant?",Working for a company that allows me to be somewhat creative. Maybe in the cultural sector.
swoop11,3,6,6,4,8,7,2,4,6,8,8,10,Computer Science,"Reading, Music, Programming","Theory, design & construction of graphs, visual models, 3D modelling","Human Computer Interaction, University of Technology Sydney, 2017",IT-industry working with software/visualisation/machine learning
Maximillianmus,1,4,4,6,7,6,5,4,1,4,5,4,Computer Science,Gaming and coding are my hobbies. someother thinghs that interest me is geopolitics and history. I also have a interest in drawing but it is on the backburner.,I expect to learn ways to visualize data ,DH2620 ,"Industry, as a developer. Preferably working with rendering in some way."
hexachord,4,6,7,4,8,8,5,4,4,7,7,8,Computer Science,"Play and listen to music, art, photography, cooking",I expect to learn best practices to visually represent information and how to use D3.js. ,"Media Technology and Interaction Design, Introduction to Visualization, Computer Graphics and Image/Video Processing and Human Perception for Information Technology. All courses taken at KTH last academic year.",
Mark Hamill,2,2,3,2,6,3,3,4,3,8,7,1,"Computer Science, Media Technology","After 3 years on KTH I got bored and pursued other interests, such as getting a motorcycle and joining the army, but now I am back to finish what I started. I watch 100-300 movies per year, play video games and work out 4-5 times a week. Those are my 5 interests and hobbies.","I have no expectations. I hope it will be a fun and interesting course, but I don't know what to expect in terms of what I'll learn.","Honestly don't know. Maybe DD1354, DH2323 at KTH are somehow relevant? It's been years since I completed those though, and any other related course would be even longer ago.","I just want a job that allows me to afford a house, garage, two cars and one or two motorcycles. I guess Industry or consultant. Entrepreneur and independent contractors seem like they require too much effort."
Spike123,5,7,8,7,8,7,1,1,5,7,7,7,Computer Science,,"I expect to learn how to visualize something interesting in an inspiring way. I’m attracted to the topic of visualization by DoodleChaos’s videos on YouTube, in which he visualize some masterpieces in classical music. And I wish I can do something as exciting as this one.","I have not completed any, but I’m currently taking DH2320 Introduction to visualization and computer graphics.",I’d like to pursue my PhD degree at KTH.
sejfz,1,3,6,10,9,6,5,6,7,3,6,6,Not sure what to put,"Gaming, sports to some degree (football and floorball), cooking","Visualising data in an effective way, making relevant and interesting visualisations","Visualization HT20, Computer graphics and interaction VT20, introduction to visualization VT20","I want to code things and have a stable income, those are my goals atm"
Lol123,1,2,4,1,3,2,1,1,2,6,5,1,Media Technology,"I'm very much interested in football and almost football only. I'm not very good at programming nor very confident in doing it, however this course feels somewhat interesting.","To design visualizations of data, through projects",DH2642 Interaction Programming and the Dynamic Web at KTH during period 3 2020,"My plans haven't come so far yet unfortunately, but perhaps working in the industry somewhere."
Pencil12,6,5,6,7,8,6,2,5,4,8,7,6,Media Technology,"I am very interested in technology, arts, and culture. I love visiting galleries or going to concerts, but I also do sports such as Tennis in my free time. ","I expect to learn how to design and develop information visualization applications. Additionally, I hope I will learn how to work with and visualize data in an engaging and interesting manner that helps users understand the information provided. ","Web Design, Bachelor program, 2017","Industry, working maybe as a Frontend Developer or UX Designer"
